# Taxonomy review (issue #38): one verdict per candidate of taxonomy-candidates-2026-09-24.tsv with df>=3,
# in that file's order, split across four subagents; the last rows were added by hand. Merged into
# src/main/resources/taxonomy/skills.tsv by scripts/taxonomy_select.py with a threshold of 3.
name	verdict	canonical	category	aliases	note
HAL/S	drop				noise: A
ActionScript	drop				AS noise; honest forms match almost nothing
TOPS-10	drop				noise: S, T
S	drop				single letter
Berry	drop				noise: be
Build	drop				ordinary word
Microsoft Teams	drop				office software; Teams ordinary word
Adobe Illustrator	drop				AI noise; honest forms match almost nothing
Vim Help File	drop				noise: help
Cloud	drop				ordinary word
make	keep	GNU Make	tool	Makefile	make: ordinary word
Python	keep	Python	language	python3|py3|Python language	py: too short; Python.org, rusthon, Python computer language: not used
Google Drive	drop				office software; Drive ordinary word
Vision	drop				ordinary word
Office	drop				ordinary word
Access	keep	Microsoft Access	database	MS Access	Access: ordinary word
AWS	keep	AWS	cloud	Amazon Web Services	
Just	drop				ordinary word
Deployment	drop				ordinary word
Enterprise	drop				ordinary word
Incompatible Timesharing System	drop				obscure; ITS noise
Go	keep	Golang	language		Go: ordinary word
Google Meet	drop				consumer software; Meet ordinary word
Universal Scene Description	drop				USD noise (currency)
Edge	drop				ordinary word
Kubernetes	keep	Kubernetes	devops	K8s	container orchestrator: generic
SQL	keep	SQL	language	Structured query language	Structural Query Language: misspelling
Source	drop				ordinary word
Analytics	drop				ordinary word
Self	drop				ordinary word
Azure	keep	Azure	cloud	Microsoft Azure|Windows Azure	Azul: different product; old platform names unused
Microsoft Project	keep	Microsoft Project	tool	MS Project	Project: ordinary word
Move	drop				ordinary word
Processing	drop				ordinary word
WEB	drop				ordinary word
ML	drop				means machine learning
D	drop				single letter
Java	keep	Java	language		
Java platform	keep	Java	language		Java platform: merged into Java
TypeScript	keep	TypeScript	language		TS: also TS/SCI clearance
Optimization	drop				ordinary word
K	drop				single letter
Solid	drop				ordinary word / SOLID principles
Email	drop				ordinary word
Action!	drop				ordinary word
Reporting	drop				ordinary word
Docker	keep	Docker	devops		Docker software: unused
Oracle Database	keep	Oracle Database	database	Oracle DBMS|Oracle RDBMS|Oracle DB	Database: noise; Oracle: company, names several products
C++	keep	C++	language	cpp	
Linux	keep	Linux	os		
Perl Compatible Regular Expressions	drop				noise form; honest forms 0
React	keep	React	framework	React.js|ReactJS	
Terraform	keep	Terraform	devops	HashiCorp Terraform	tf: ambiguous
SAN	drop				SAN ambiguous (San Jose); storage area network generic
Workflow	drop				ordinary word
C	keep	C	language	C language	
C--	drop				obscure; matches C
Debugging	drop				generic concept
Expect	drop				ordinary word
E	drop				single letter
JavaScript	keep	JavaScript	language	js	
Click	drop				ordinary word
BASIC	drop				ordinary word
Git	keep	Git	tool		content tracker: unused
LinkedIn	drop				consumer software
GitHub	keep	GitHub	tool		
ConTeXt	drop				ordinary word (context)
Clean	drop				ordinary word
Requests	drop				ordinary word
root	drop				ordinary word
Apache Kafka	keep	Apache Kafka	data	Kafka	
IBM WebSphere Application Server	drop				WAS noise; honest forms match almost nothing
Oracle Reports	drop				Reports noise; honest forms 0
Text	drop				ordinary word
OpenEdge Advanced Business Language	drop				Progress noise; honest forms 0
Node.js	keep	Node.js	framework	NodeJS	Node: ordinary word (graph/cluster node)
PHP	keep	PHP	language		inc: noise
PostgreSQL	keep	PostgreSQL	database	Postgres|psql	
Apache Spark	keep	Apache Spark	data	Spark	
SPARK	drop				homonym of Apache Spark; Ada subset not meant
LESS	drop				ordinary word
R	keep	R	language	GNU R|R language|Rscript	GNU S, splus: other dialects
Active Directory	keep	Active Directory	security	MS Active Directory|MS AD	AD: ordinary abbreviation
B	drop				single letter
Google Docs	drop				office software
Step	drop				ordinary word
Clarity	drop				ordinary word
Velocity Template Language	drop				velocity: agile term; honest forms match almost nothing
Version control	drop				generic concept
Concept	drop				ordinary word
Rust	keep	Rust	language		rs: ambiguous
Microsoft Excel	keep	Microsoft Excel	data	MS Excel|Office Excel|Microsoft 365 Excel	Excel: verb (excel at)
Programming languages	drop				generic concept
Bash	keep	Bash	language		
C#	keep	C#	language	csharp	cake, cakescript: other tool; Microsoft Java: unused
Microsoft Windows	keep	Microsoft Windows	os	Windows	MSFT Win: unused
PyTorch	keep	PyTorch	ml		torch: also Lua Torch
YouTube	drop				consumer software
Jira	keep	Jira	tool	Jira Software	
Snowflake	keep	Snowflake	data		
Verification	drop				ordinary word
Operating system	drop				generic concept
Simulation	drop				ordinary word
GitLab EE	keep	GitLab	tool	GitLab EE	
NoSQL	drop				generic concept (database category)
Connectivity	drop				ordinary word
MySQL	keep	MySQL	database		
Central	drop				ordinary word
Data modeling	drop				generic concept
Exchange	drop				ordinary word; mail server, not engineering skill
IntelliJ IDEA	keep	IntelliJ IDEA	tool	IntelliJ	IDEA: ordinary word
Elasticsearch	keep	Elasticsearch	database		es: noise (Spanish)
Apache Airflow	keep	Apache Airflow	data	Airflow	
Ansible	keep	Ansible	devops		
Sites	drop				ordinary word
Prometheus	keep	Prometheus	devops		
Fluent	drop				ordinary word
Statistical	drop				ordinary word
Inform	drop				ordinary word
Spring Framework	keep	Spring Framework	framework	springframework	Spring: ordinary word; ac: noise
Migration	drop				ordinary word
Adobe Director	drop				Director noise; honest forms 0
Director	drop				ordinary word
Data analysis	drop				generic concept
Sierra's Creative Interpreter	drop				SCI noise (TS/SCI)
Scheduling	drop				ordinary word
Root cause analysis	drop				generic concept
Reason	drop				ordinary word; ReasonML matches almost nothing
FALSE	drop				ordinary word
Salesforce	keep	Salesforce	tool		
Kotlin	keep	Kotlin	language		
Android	keep	Android	os		
GAP	drop				ordinary word
Scala	keep	Scala	language		
Apache HTTP Server	keep	Apache HTTP Server	devops	httpd|Apache web server|Apache webserver	Apache: names many projects; HTTP Server: generic
S3	keep	Amazon S3	cloud	S3|Simple Storage Service	
Project management	drop				generic concept
MongoDB	keep	MongoDB	database	Mongo	
MUMPS	drop				M noise; honest forms match almost nothing
Adobe AIR	drop				AIR noise; honest forms 0
Redis	keep	Redis	database		
Big Data	drop				generic concept
Cisco IOS	keep	Cisco IOS	networking		IOS: collides with Apple iOS
Continuous integration	drop				generic concept
GraphQL	keep	GraphQL	language		
DNS	keep	DNS	networking	Domain name system	
SAP ERP	keep	SAP ERP	tool	SAP	ERP: generic concept
TensorFlow	keep	TensorFlow	ml		
eXist	drop				ordinary word (exist)
Access management	drop				generic concept
MicroStation	drop				CAD noise; honest forms match almost nothing
P′′	drop				obscure; noise
CRM	drop				generic concept
Angular	keep	Angular	framework		Angular 2+: punctuation form
Org-mode	drop				Org noise; honest forms 0
Batchfile	drop				batch noise; honest forms match almost nothing
Google Workspace	drop				office software; Workspace ordinary word
PowerShell	keep	PowerShell	language	pwsh	posh: ordinary word
Tax	drop				ordinary word
Configuration management	drop				generic concept
Ruby	keep	Ruby	language		jruby, macruby: other implementations; rake, rb, rbx: ambiguous
Google Slides	drop				office software; Presentations noise
Encryption	drop				generic concept
Cascading Style Sheets Level 3	keep	CSS	language	Cascading style sheets|CSS3	
Scratch	drop				ordinary word
BigQuery	keep	Google BigQuery	data	BigQuery	
Microsoft SQL Server	keep	Microsoft SQL Server	database	SQL Server|MS SQL|MS SQL Server|MS SQLServer|MSSQL	Windows SQL: unused
Confluence	keep	Confluence	tool		Confluence Hosted: unused
Lean	drop				ordinary word (lean methodology)
Raw token data	drop				raw noise
HTML	keep	HTML	language	HTML5|XHTML	
Spring Boot	keep	Spring Boot	framework		
HTTP	keep	HTTP	networking		
Disaster recovery	drop				generic concept
Pandas	keep	pandas	data		
CloudFormation	keep	AWS CloudFormation	devops	CloudFormation	
gRPC	keep	gRPC	framework		
Vue.js	keep	Vue.js	framework	Vue|VueJS	
EGO	drop				ordinary word
HCL Domino	drop				Notes noise; Domino ordinary word
serverless computing	drop				generic concept
DEMOS	drop				ordinary word
Capacity planning	drop				generic concept
Microsoft Dynamics	keep	Microsoft Dynamics	tool	Dynamics 365	Dynamics: ordinary word
Clinical	drop				ordinary word
Tableau	keep	Tableau	data		
Genie	drop				ordinary word; obscure
Genie	drop				ordinary word; obscure
Genie	drop				ordinary word; obscure
Eclipse Jersey	drop				Jersey noise (New Jersey); honest forms 0
F*	drop				obscure; noise
scikit-learn	keep	scikit-learn	ml	sklearn	scikit: also scikit-image; scikits.learn: old name
Lift	drop				ordinary word
AL	drop				common abbreviation
Next.js	keep	Next.js	framework	NextJS	
UNIX	keep	Unix	os		
E-mail	drop				ordinary word
Jakarta Expression Language	drop				generic phrase noise; honest forms 0
ABC	drop				JSON noise; obscure
Amazon DynamoDB	keep	Amazon DynamoDB	database	DynamoDB	
desktop	drop				ordinary word
Slack	drop				office chat software
V	drop				single letter
Zoom	drop				consumer software
Data Pipeline	drop				generic concept
STAR	drop				ordinary word
Checkstyle	drop				CS noise; honest forms 0
cloud computing	drop				generic concept
Red	drop				ordinary word
RabbitMQ	keep	RabbitMQ	data		
Data warehouse	drop				generic concept
EC2	keep	Amazon EC2	cloud	EC2|Elastic Compute Cloud	
Ruby on Rails	keep	Ruby on Rails	framework	Rails|RoR	
Shell	drop				ordinary word; generic
ServiceNow	keep	ServiceNow	tool		
Metal	drop				ordinary word
Object oriented programming	drop				generic concept
Unit testing	drop				generic concept
NumPy	keep	NumPy	data		
React Native	keep	React Native	framework		
Robots Exclusion Rules	drop				robots noise
Cadence	drop				ordinary word
Data visualization	drop				generic concept
Swift	keep	Swift	language	Swift language|Apple Swift|Swiftlang	
Scheme	drop				ordinary word
Mathematical	drop				ordinary word
FastAPI	keep	FastAPI	framework		
macOS	keep	macOS	os	OSX|OS X|Mac OS	Mac OS 10 etc: unused
Microservices Architecture	drop				generic concept
Middleware	drop				generic concept
Business intelligence	drop				generic concept
Git Commit	drop				commit noise
ECS	keep	Amazon ECS	cloud	ECS|Elastic Container Service	
Gemini	drop				Gemini protocol not meant (Google Gemini)
VPN	keep	VPN	networking	Virtual private network|Virtual private networking	
Mlflow	keep	MLflow	ml		
SAML	keep	SAML	security	Security assertion markup language	
Algorithmic	drop				ordinary word
Integration testing	drop				generic concept
Microsoft Power BI	keep	Power BI	data	Microsoft Power BI|PowerBI	
Firewall	drop				generic concept
Facebook	drop				consumer software
Relational database	drop				generic concept
Web application	drop				generic concept
Apache Flex	drop				Flex noise; honest forms 0
Django	keep	Django	framework		
FLEX	drop				ordinary word; obscure OS
assembly language	keep	Assembly language	language	asm|assembler language|assembly code	assembly: ordinary word (manufacturing)
PySpark	keep	PySpark	data		
Apache Maven	keep	Apache Maven	tool	Maven	
FlagShip	drop				ordinary word (flagship)
MAGIC	drop				ordinary word
Redshift	keep	Amazon Redshift	data	Redshift	
Ads	drop				ordinary word
FL	drop				abbreviation (Florida)
Factor	drop				ordinary word
SageMaker	keep	Amazon SageMaker	ml	SageMaker	
VMware	keep	VMware	devops		
Coherent	drop				ordinary word
Express.js	keep	Express.js	framework	Expressjs	Express: ordinary word
Catalyst	drop				ordinary word
ClickHouse	keep	ClickHouse	database		
Route	drop				ordinary word
RTOS	drop				generic concept
Selenium	keep	Selenium	testing		
Joy	drop				ordinary word
Puppet	keep	Puppet	devops		Puppet Labs, Reductive Labs: company names
