# Review of the mined skill names (issue #40): one verdict per name of taxonomy-mined-2026-09-24.tsv,
# in that file's order. Sonnet subagents first screened all names (a drop noted "screened out"),
# then reviewed the survivors with the rules of taxonomy-review-2026-09-24.tsv. The reviewers were
# cut off by the usage limit before finishing: 334 survivors, noted "not reviewed", have no verdict
# and are left for issue #41. Key conflicts between reviewers were settled by hand, noted "merge:".
# Merged with taxonomy-review-2026-09-24.tsv into src/main/resources/taxonomy/skills.tsv by
# scripts/taxonomy_select.py with a threshold of 3.
name	verdict	canonical	category	aliases	note
Familiarity	drop				screened out
e.g	drop				screened out
CI	drop				screened out
APIs	drop				screened out
CD	drop				screened out
CI CD	drop				screened out
native	drop				screened out
API	drop				screened out
GCP	keep	Google Cloud Platform	cloud	GCP|Google Cloud	merges with Google Cloud / Google Cloud Platform in this slice
Nice	drop				screened out
DevOps	drop				screened out
Google	drop				screened out
Preferred Qualifications	drop				screened out
REST	keep	RESTful API	tool	REST API	bare REST unsafe (ordinary word "rest", 34% lowercase); merged into existing RESTful API
Microsoft	drop				screened out
actions	drop				screened out
Claude	keep	Claude	ml		
Qualifications Experience	drop				screened out
server	drop				screened out
AWS Azure	drop				screened out
UI	drop				screened out
Proficient	drop				screened out
OS	drop				screened out
Certified	drop				screened out
IP	drop				ambiguous common abbreviation (Internet Protocol vs intellectual property), unsafe alone
Preferred Qualifications Experience	drop				screened out
Claude Code	keep	Claude Code	tool		
Grafana	keep	Grafana	devops		
MS	drop				screened out
Google Cloud	keep	Google Cloud Platform	cloud	Google Cloud|GCP	merges with GCP / Google Cloud Platform in this slice
AWS GCP	drop				screened out
desired	drop				screened out
IAM	keep	IAM	security		
Docker Kubernetes	drop				screened out
ETL	drop				screened out
Cursor	keep	Cursor	tool		
GitHub Actions	keep	GitHub Actions	devops		
BI	drop				screened out
IaC	drop				screened out
GPU	drop				screened out
C C++	drop				screened out
Datadog	keep	Datadog	devops		
ID	drop				screened out
MLOps	drop				screened out
Copilot	drop				homonym (GitHub Copilot vs Microsoft Copilot); kept separately under each full name
Amazon	drop				screened out
Science Software	drop				screened out
Boot	drop				screened out
Ventures	drop				screened out
Solutions Architect	drop				screened out
mastery	drop				screened out
TCP	keep	TCP	networking		
OpenAI	keep	OpenAI	ml		
DevSecOps	drop				screened out
Administrator	drop				screened out
Lake	drop				screened out
Unity	keep	Unity	framework		game engine; minor homonym with the defunct Ubuntu Unity desktop
.NET	keep	.NET	framework		
protocol	drop				screened out
Associate	drop				screened out
EKS	keep	Amazon EKS	cloud	EKS	merges with AWS EKS in this slice; merge: Amazon EKS is cloud, like the rest of its kind
Javascript Typescript	drop				screened out
Helm	keep	Helm	devops		
i.e	drop				screened out
Factory	drop				screened out
LangChain	keep	LangChain	framework		
Python Go	drop				screened out
Lambda	keep	AWS Lambda	cloud	Lambda	bare "Lambda" ambiguous (lambda calculus/Python) but near=0.97, strongly tech in corpus; merges with AWS Lambda
Gateway	drop				screened out
Prometheus Grafana	drop				screened out
GitOps	drop				screened out
Python Experience	drop				screened out
Python Java	drop				screened out
RDS	keep	Amazon RDS	cloud	RDS	merges with AWS RDS in this slice
GitLab CI	keep	GitLab CI	devops		distinct from existing GitLab entry (whole platform)
GitHub Copilot	keep	GitHub Copilot	tool		resolves the Copilot homonym
Engineering Computer Science	drop				screened out
OAuth	keep	OAuth	security		merges OAuth2 / OAuth 2.0 in this slice
SDKs	drop				screened out
ELT	drop				screened out
CISSP	drop				screened out
Mac	keep	macOS	os	Mac	merged into existing macOS; MAC=96 minority form is the MAC-address homonym, left out
Strong Python	drop				screened out
Fortune 100	drop				screened out
Studio	drop				screened out
Google Cloud Platform	keep	Google Cloud Platform	cloud	GCP|Google Cloud	canonical form itself; merges GCP / Google Cloud in this slice
ARM	drop				ordinary word "arm" collision (30% lowercase), no unambiguous safe form in input
Okta	keep	Okta	security		
TypeScript React	drop				screened out
1+	drop				screened out
DevOps Engineer	drop				screened out
RBAC	keep	RBAC	security		
SDK	drop				screened out
Extension	drop				screened out
Kubernetes Experience	drop				screened out
OpenTelemetry	keep	OpenTelemetry	devops		
365	drop				screened out
Cisco	drop				screened out
ArgoCD	keep	Argo CD	devops	ArgoCD	merges with Argo CD in this slice
React TypeScript	drop				screened out
LangGraph	keep	LangGraph	framework		
SSO	keep	SSO	security		
Azure DevOps	keep	Azure DevOps	devops		distinct from existing Azure DevOps Server (on-prem product)
Playwright	keep	Playwright	testing		
NVIDIA	drop				screened out
e.g AWS	drop				screened out
Security+	drop				screened out
Pro	drop				screened out
HTML CSS	drop				screened out
Splunk	keep	Splunk	data		
Directory	drop				screened out
Delta	drop				screened out
Intermediate	drop				screened out
Python SQL	drop				screened out
VPC	keep	VPC	cloud	VPCs	merges with VPCs in this slice
Terraform Ansible	drop				screened out
Cloud AWS	drop				screened out
Key Responsibilities Design	drop				screened out
Looker	keep	Looker	data		
SQS	keep	Amazon SQS	data	SQS	merge: Amazon SQS is data, like the rest of its kind
Java Python	drop				screened out
Vertex	drop				screened out
CloudWatch	keep	Amazon CloudWatch	devops	CloudWatch	merge: Amazon CloudWatch is devops, like the rest of its kind
Job Summary	drop				screened out
OIDC	keep	OpenID Connect	security	OIDC	merges with OpenID Connect in this slice
PyTorch TensorFlow	drop				screened out
Bedrock	keep	Amazon Bedrock	ml	Bedrock	merges with AWS Bedrock / Amazon Bedrock in this slice
ELK	keep	ELK Stack	devops	ELK	
Amsterdam	drop				screened out
TLS	keep	TLS	security		
AWS Google	drop				screened out
Infrastructure AWS	drop				screened out
OWASP	drop				screened out
Temporal	keep	Temporal	devops		21% lowercase ordinary-adjective noise ("temporal database"); kept, dominant capitalized use is the temporal.io workflow engine
Vault	keep	HashiCorp Vault	security	Vault	bare "Vault" is an ordinary noun but 90% capitalized; merges with HashiCorp Vault in this slice
Strong SQL	drop				screened out
Entra	keep	Microsoft Entra ID	security	Entra	merges with Entra ID / Microsoft Entra / Azure AD in this slice
AWS Kubernetes	drop				screened out
Kubernetes Docker	drop				screened out
Java Spring	drop				screened out
Vertex AI	keep	Google Vertex AI	ml	Vertex AI	merge: one skill
17	drop				screened out
CLI	drop				screened out
AWS Google Cloud	drop				screened out
Services APIs	drop				screened out
AWS experience	drop				screened out
data lake	drop				screened out
Fabric	drop				ordinary word "fabric" (network/cloth, 40% lowercase), generic; Microsoft Fabric kept separately
Flink	keep	Apache Flink	data	Flink	
Jira Confluence	drop				screened out
Cypress	keep	Cypress	testing		
Git CI	drop				screened out
Microsoft 365	keep	Microsoft 365	tool		merges Office 365 / Microsoft Office / MS Office / M365 in this slice
C# .NET	drop				screened out
Iceberg	keep	Apache Iceberg	data	Iceberg	merges with Apache Iceberg in this slice
ce	drop				screened out
Transformers	drop				generic ML concept + ordinary word ("electrical transformers", 35% lowercase); Hugging Face Transformers kept separately
Entra ID	keep	Microsoft Entra ID	security	Entra ID	merge group, see Entra
APIs Data	drop				screened out
TypeScript JavaScript	drop				screened out
Azure AWS	drop				screened out
Chrome	drop				consumer software (web browser), not an engineering skill per guide
C++ Python	drop				screened out
CompTIA	drop				screened out
Elastic	drop				not reviewed
Haves Experience	drop				screened out
JVM	keep	JVM	tool		
Delta Lake	keep	Delta Lake	data		
SQL Python	drop				screened out
53	drop				screened out
2.0	drop				screened out
Adobe	drop				screened out
Aurora	keep	Amazon Aurora	database		
Kanban	drop				screened out
Desired Qualifications	drop				screened out
ITIL	drop				screened out
Argo	drop				ambiguous within the Argo project family (CD/Workflows/Rollouts/Events), no dominant single meaning
languages Python	drop				screened out
FinOps	drop				screened out
UDP	keep	UDP	networking		
Glue	keep	AWS Glue	data		bare "glue" is an ordinary word (30% lowercase), left out; canonical uses AWS prefix
Ray	keep	Ray	framework		distributed compute framework; low lowercase noise (1%)
Chrome Extension	drop				screened out
TDD	drop				screened out
Amazon Web	drop				screened out
Python Javascript	drop				screened out
JAX	keep	JAX	ml		
pytest	keep	pytest	testing		
LLM APIs	drop				screened out
SQL NoSQL	drop				screened out
AZ	drop				screened out
mes	drop				screened out
API Gateway	keep	API Gateway	devops		generic term but commonly listed as its own skill; negligible true lowercase noise
be Nice	drop				screened out
TypeScript Python	drop				screened out
APIs Experience	drop				screened out
C++ Experience	drop				screened out
CIS	drop				screened out
Java Scala	drop				screened out
Pub	drop				screened out
DevOps Cloud	drop				screened out
UIs	drop				screened out
pub sub	drop				screened out
DR	drop				screened out
Java C#	drop				screened out
SOAP	keep	SOAP	tool		
2019	drop				screened out
Java Spring Boot	drop				screened out
Atlassian	drop				screened out
AWS Certified	drop				screened out
Compass	drop				screened out
Atlas	drop				screened out
Pulumi	keep	Pulumi	devops		
Desired Skills	drop				screened out
LlamaIndex	keep	LlamaIndex	framework		
MFA	keep	MFA	security		
Hugging	drop				screened out
Python Typescript	drop				screened out
Have Familiarity	drop				screened out
PostgreSQL MySQL	drop				screened out
Bash Python	drop				screened out
vLLM	keep	vLLM	ml		
Advanced SQL	drop				screened out
Azure Experience	drop				screened out
EEO Policy	drop				screened out
PKI	keep	PKI	security		
VPNs	keep	VPN	networking	VPNs	merged into existing VPN entry
Would be Nice	drop				screened out
Loki	keep	Loki	devops		Grafana Loki
New Relic	keep	New Relic	devops		
Relic	drop				screened out
Biases	drop				screened out
CDK	keep	AWS CDK	devops	CDK	merges with AWS CDK in this slice
Compose	drop				ordinary verb "compose" + homonym (Docker Compose vs Jetpack Compose); Jetpack Compose kept separately
Pinecone	keep	Pinecone	database		
ITSM	drop				screened out
Intune	keep	Microsoft Intune	tool	Intune	merges with Microsoft Intune in this slice
OAuth 2.0	keep	OAuth	security	OAuth 2.0	version-numbered form, merges into OAuth
Foundry	drop				multi-way homonym (Palantir Foundry / Foundry Solidity toolkit / Azure AI Foundry), low near-score (0.38); AI Foundry kept separately
Dagster	keep	Dagster	data		
Cursor Claude	drop				screened out
AI experience	drop				screened out
GKE	keep	Google Kubernetes Engine	devops	GKE	
FI	drop				screened out
Recruitment Privacy Policy	drop				screened out
Wi	drop				screened out
stack AI	drop				screened out
10 000	drop				screened out
Pandas NumPy	drop				screened out
AI AI	drop				screened out
Istio	keep	Istio	devops		
55	drop				screened out
TypeScript Experience	drop				screened out
SQL Experience	drop				screened out
SNS	keep	Amazon SNS	data	SNS	merge: Amazon SNS is data, like the rest of its kind
CCNP	drop				screened out
Responsibilities Work	drop				screened out
DB	drop				screened out
Sigma	drop				screened out
GCP Experience	drop				screened out
Shopify	keep	Shopify	tool		
OOP	drop				screened out
VLANs	keep	VLAN	networking	VLANs	merges with VLAN in this slice
Microsoft Office	keep	Microsoft 365	tool	Microsoft Office	merge group, see Microsoft 365
SCIM	keep	SCIM	security		
Terraform Experience	drop				screened out
AKS	keep	Azure Kubernetes Service	cloud	AKS	merge: Azure Kubernetes Service is cloud, like the rest of its kind
USD At	drop				screened out
API First	drop				screened out
TensorRT	keep	TensorRT	ml		
Azure Data	drop				screened out
CDN	keep	CDN	networking		cap=1.00, no ordinary-word noise despite the generic-sounding term
Formation	drop				screened out
WAF	keep	WAF	security		
OAuth2	keep	OAuth	security	OAuth2	merges into OAuth
Clinic	drop				screened out
Python PowerShell	drop				screened out
Sentry	keep	Sentry	devops		
n8n	keep	n8n	tool		
L3	drop				screened out
Tempo	drop				ordinary word "tempo" (pace/music, 11% lowercase), low near-score (0.27); Grafana Tempo is a minority use
CrowdStrike	keep	CrowdStrike	security		
JWT	keep	JWT	security		
Kubernetes Terraform	drop				screened out
React Angular	drop				screened out
GraphQL APIs	drop				screened out
Prefect	keep	Prefect	data		
Go Experience	drop				screened out
Strong Linux	drop				screened out
CompTIA Security+	drop				screened out
Java Experience	drop				screened out
Kubernetes AWS	drop				screened out
Sentinel	keep	Microsoft Sentinel	security		ambiguous with generic "sentinel value" / Alibaba Sentinel; picked the dominant enterprise SIEM meaning, uncertain
Weaviate	keep	Weaviate	database		
Workato	keep	Workato	tool		
400+	drop				screened out
MySQL Postgres	drop				screened out
OpenAPI	keep	OpenAPI	tool		
React Next.js	drop				screened out
Wi Fi	keep	Wi-Fi	networking		input form "Wi Fi" (space) is rare; real spelling is hyphenated "Wi-Fi"; merges with WiFi in this slice
InfiniBand	keep	InfiniBand	networking		
CircleCI	keep	CircleCI	devops		
SD	drop				screened out
Weights	drop				screened out
Bloomberg	drop				screened out
CrewAI	keep	CrewAI	framework		
Triton	keep	Triton Inference Server	ml		ambiguous with OpenAI Triton (GPU kernel language); picked NVIDIA's as dominant, uncertain
APIs Microservices	drop				screened out
RDBMS	drop				screened out
E2E	drop				screened out
AWS Bedrock	keep	Amazon Bedrock	ml	AWS Bedrock	merge group, see Bedrock
Trino	keep	Trino	data		
React Node.js	drop				screened out
Python Django	drop				screened out
Jenkins GitHub	drop				screened out
